id,first_name,last_name,email,phone,date_of_birth,gender,loyalty_tier,is_active,created_at
38,Josiah,Rose,josiah.rose7319@yahoo.com,(419) 989-8852,1981-06-17,M,silver,1,2021-03-06T19:33:18Z
39,Ivy,Cook,ivy.cook525@gmail.com,(334) 757-3466,1976-08-26,F,bronze,1,2021-03-08T23:35:07Z
40,Amanda,Manning,amanda.manning8750@icloud.com,(251) 509-8742,2001-02-19,F,bronze,1,2021-03-10T11:59:23Z
41,Paisley,Hanson,paisley.hanson2916@gmail.com,(859) 630-2799,1957-05-21,F,bronze,1,2021-03-16T12:59:58Z
42,Elliott,Jordan,elliott.jordan3739@gmail.com,(304) 223-9880,1993-03-12,M,bronze,1,2021-03-17T16:52:14Z
43,Jeffrey,Kelley,jeffrey.kelley1966@gmail.com,(301) 687-9220,1991-06-20,M,bronze,1,2021-03-20T15:09:09Z
44,Scarlett,Sandoval,scarlett.sandoval8783@gmail.com,(716) 384-3746,1971-12-19,F,bronze,1,2021-03-25T11:18:03Z
45,Anna,Holmes,anna.holmes1014@gmail.com,(954) 312-7138,1985-02-02,F,silver,1,2021-03-25T13:34:10Z
46,Hunter,Cruz,hunter.cruz7655@me.com,(303) 233-9252,1988-06-10,M,bronze,1,2021-03-25T19:06:31Z
47,Shirley,Armstrong,shirley.armstrong1747@microsoft.com,(619) 315-7745,2003-10-22,F,silver,0,2021-03-28T05:39:52Z
48,Johnny,Griffin,johnny.griffin3742@outlook.com,(304) 673-7342,1981-04-15,M,gold,1,2021-03-28T09:43:55Z
49,Morgan,Estrada,morgan.estrada2054@yahoo.com,(919) 481-8002,1976-01-03,F,gold,0,2021-03-29T13:59:51Z
50,Charles,Boyd,charles.boyd4051@gmail.com,(503) 629-4267,1989-06-25,M,bronze,1,2021-03-31T07:39:22Z
51,Leslie,Hill,leslie.hill5553@gmail.com,(770) 909-8437,1979-01-22,F,bronze,1,2021-03-31T19:05:50Z
52,Stephanie,Foster,stephanie.foster7651@me.com,(202) 671-0149,1979-02-10,F,bronze,1,2021-04-01T11:37:36Z
53,Diane,Rice,diane.rice3512@gmail.com,(352) 600-2612,1971-08-14,F,silver,1,2021-04-02T14:00:08Z
54,Elena,Duncan,elena.duncan7299@protonmail.com,(410) 894-1539,1955-09-12,F,bronze,1,2021-04-02T16:10:13Z
55,Tyler,Schmidt,tyler.schmidt7012@microsoft.com,(917) 455-3807,1998-09-23,M,bronze,1,2021-04-03T13:20:21Z
56,Nicole,Carroll,nicole.carroll3819@google.com,(717) 305-1341,1972-03-28,F,bronze,1,2021-04-04T07:57:37Z
57,Ella,Arnold,ella.arnold5720@zoho.com,(216) 622-6479,1978-10-05,F,silver,0,2021-04-05T02:16:25Z
58,Ruby,Richards,ruby.richards7851@gmail.com,(504) 479-8047,1999-10-11,F,bronze,1,2021-04-05T20:57:10Z
59,Emily,Ford,emily.ford5059@gmail.com,(608) 502-2134,1977-05-25,F,gold,1,2021-04-06T16:03:03Z
60,Theodore,Morrison,theodore.morrison8122@outlook.com,(239) 376-2528,1980-02-25,M,silver,1,2021-04-06T17:19:02Z
61,Jack,Palmer,jack.palmer7968@icloud.com,(513) 784-2221,1999-04-06,M,bronze,1,2021-04-06T20:03:09Z
62,Caleb,Dixon,caleb.dixon8402@gmail.com,(574) 995-4114,1994-11-19,M,bronze,1,2021-04-14T08:44:12Z
63,Joanne,Simmons,joanne.simmons341@outlook.com,(915) 733-5090,1961-11-01,F,platinum,1,2021-04-14T23:48:45Z
64,Judy,Phillips,judy.phillips7230@icloud.com,(509) 348-2668,1994-07-12,F,gold,1,2021-04-16T02:12:55Z
65,Madison,Chen,madison.chen3684@me.com,(814) 827-6849,1969-04-22,F,silver,1,2021-04-16T14:42:01Z
66,Calvin,Carpenter,calvin.carpenter8839@icloud.com,(916) 839-5162,1976-03-09,M,bronze,0,2021-04-17T22:09:38Z
67,Alexandra,Jones,alexandra.jones9029@gmail.com,(205) 974-3420,1993-04-01,F,bronze,1,2021-04-19T07:32:12Z
68,Parker,Contreras,parker.contreras7149@gmail.com,(312) 929-1685,1993-09-05,M,bronze,1,2021-04-19T15:56:15Z
69,Audrey,Butler,audrey.butler935@microsoft.com,(510) 766-3991,1973-08-14,F,silver,1,2021-04-19T20:15:57Z
70,Olivia,Shaw,olivia.shaw2734@aol.com,(213) 527-4110,1998-01-18,F,bronze,1,2021-04-19T23:41:19Z
71,Lily,Soto,lily.soto3177@yahoo.com,(202) 312-7877,1996-06-13,F,bronze,1,2021-04-24T05:25:48Z
72,Sarah,Gilbert,sarah.gilbert4307@gmail.com,(812) 584-2114,1981-08-27,F,silver,1,2021-04-25T15:00:06Z
73,Nancy,Bryant,nancy.bryant5833@gmail.com,(502) 945-0855,1967-01-06,F,bronze,1,2021-04-27T02:01:44Z
74,Ashley,Wilson,ashley.wilson8197@apple.com,(202) 320-4314,1993-09-15,F,bronze,1,2021-04-27T02:14:08Z
75,Sophia,Jenkins,sophia.jenkins436@yahoo.com,(662) 669-0613,2003-05-20,F,silver,1,2021-04-27T03:40:37Z
76,Cooper,Carr,cooper.carr3943@gmail.com,(786) 909-8075,1966-10-19,M,bronze,1,2021-04-27T18:07:19Z
77,Kaitlyn,Rogers,kaitlyn.rogers7084@gmail.com,(970) 267-1143,1970-08-16,F,bronze,1,2021-04-28T03:29:59Z
78,Aurora,Lawrence,aurora.lawrence8509@hotmail.com,(562) 371-0264,1999-04-07,F,bronze,1,2021-04-30T05:59:37Z
79,Ariana,Lynch,ariana.lynch7805@icloud.com,(772) 208-3432,1966-05-14,F,silver,1,2021-05-01T03:27:19Z
80,John,Hale,john.hale7741@microsoft.com,(480) 918-2054,1991-03-23,M,bronze,1,2021-05-02T14:05:02Z
81,Margaret,Vargas,margaret.vargas7277@gmail.com,(816) 608-0564,1970-01-05,F,bronze,1,2021-05-02T22:41:03Z
82,Jean,Nguyen,jean.nguyen2046@gmail.com,(920) 871-8686,2003-03-04,F,gold,1,2021-05-03T12:34:41Z
83,Bryan,Allen,bryan.allen6048@gmail.com,(646) 553-7809,1959-12-23,M,bronze,1,2021-05-03T12:37:44Z
84,Daniel,Howell,daniel.howell1832@gmail.com,(214) 588-5003,1983-10-17,M,bronze,1,2021-05-03T23:37:13Z
85,Bryson,Adams,bryson.adams9092@gmail.com,(512) 400-4716,1973-07-13,M,gold,1,2021-05-09T00:28:10Z
86,Paul,Gardner,paul.gardner7195@sbcglobal.net,(210) 320-8172,1960-05-20,M,bronze,1,2021-05-10T09:34:33Z
87,Joshua,Russell,joshua.russell1122@gmail.com,(913) 535-6644,1988-04-16,M,silver,1,2021-05-10T18:32:02Z
88,Mateo,Ferguson,mateo.ferguson8631@icloud.com,(513) 875-1598,1960-12-05,M,bronze,1,2021-05-11T16:54:41Z
89,Ezekiel,Rivera,ezekiel.rivera2812@hotmail.com,(209) 254-4278,1987-01-27,M,bronze,1,2021-05-12T18:25:54Z
90,Steven,Maldonado,steven.maldonado4185@gmail.com,(210) 374-5127,1971-02-01,M,bronze,1,2021-05-13T00:52:00Z
91,Josephine,Alvarado,josephine.alvarado4107@gmail.com,(704) 391-6540,1963-01-28,F,bronze,1,2021-05-14T00:01:44Z
92,Grayson,Santiago,grayson.santiago8186@gmail.com,(504) 784-8592,1969-04-19,M,silver,1,2021-05-15T07:49:51Z
93,Roger,Guzman,roger.guzman137@gmail.com,(804) 932-3652,1962-11-05,M,bronze,1,2021-05-15T09:49:26Z
94,Lauren,Cox,lauren.cox3044@salesforce.com,(318) 470-2719,1963-07-12,F,silver,1,2021-05-15T17:28:05Z
95,Russell,Herrera,russell.herrera757@gmail.com,(765) 713-1876,1965-01-19,M,gold,1,2021-05-15T22:41:15Z
96,Tristan,Riley,tristan.riley4434@yahoo.com,(941) 965-3952,1974-08-24,M,silver,1,2021-05-17T08:10:41Z
97,Florence,Le,florence.le4667@gmail.com,(702) 272-1984,1985-02-25,F,silver,1,2021-05-18T10:48:32Z
98,Frances,Woods,frances.woods8814@icloud.com,(513) 981-2921,1977-09-09,F,bronze,1,2021-05-21T11:05:50Z
99,Larry,Taylor,larry.taylor353@gmail.com,(517) 324-3842,1995-12-22,M,silver,1,2021-05-21T23:29:13Z
100,Sebastian,Young,sebastian.young512@icloud.com,(919) 400-3054,1971-03-28,M,gold,1,2021-05-22T03:17:51Z
101,Debra,Tucker,debra.tucker1422@gmail.com,(812) 841-0164,1967-11-15,F,bronze,1,2021-05-22T12:44:00Z
102,Naomi,Hunt,naomi.hunt8594@icloud.com,(517) 276-7312,1965-11-15,F,silver,1,2021-05-23T00:54:12Z
103,Ruth,Jensen,ruth.jensen5506@live.com,(561) 298-2369,1965-06-01,F,silver,1,2021-05-25T20:10:39Z
104,Penelope,Spencer,penelope.spencer8072@apple.com,(678) 466-2889,1985-02-16,F,silver,1,2021-05-26T11:39:11Z
105,Brooke,Parsons,brooke.parsons4170@gmail.com,(509) 755-1660,1976-09-17,F,bronze,1,2021-05-27T19:48:30Z
106,Amy,Peterson,amy.peterson699@jpmorgan.com,(614) 870-9881,1980-03-02,F,silver,1,2021-05-28T09:20:28Z
107,Milo,Harvey,milo.harvey3696@icloud.com,(571) 667-7522,1983-02-28,M,silver,1,2021-05-30T20:06:10Z
108,Jackson,Gonzalez,jackson.gonzalez2157@icloud.com,(801) 468-2916,1955-12-26,M,bronze,1,2021-05-31T02:04:52Z
109,Bernice,Sutton,bernice.sutton6180@icloud.com,(504) 355-3094,1983-08-01,F,silver,1,2021-05-31T08:14:02Z
110,Harper,Flores,harper.flores3983@icloud.com,(321) 339-3886,1961-09-14,F,bronze,1,2021-05-31T16:30:50Z
111,Mildred,Harper,mildred.harper4888@verizon.net,(480) 230-2914,1962-10-09,F,bronze,1,2021-06-01T09:28:08Z
112,Beckett,Scott,beckett.scott6274@gmail.com,(404) 754-2201,1987-06-12,M,bronze,1,2021-06-04T13:45:14Z
113,Gloria,Jackson,gloria.jackson284@icloud.com,(469) 395-3675,1960-08-15,F,gold,1,2021-06-05T22:12:43Z
114,Natalia,Morgan,natalia.morgan4389@dell.com,(561) 364-4518,1972-08-05,F,bronze,1,2021-06-06T01:29:44Z
115,Katherine,Pierce,katherine.pierce2120@gmail.com,(202) 768-5487,1962-09-28,F,bronze,1,2021-06-06T11:54:31Z
116,Nolan,Kim,nolan.kim3528@hotmail.com,(812) 437-0486,1967-08-06,M,bronze,1,2021-06-07T11:59:28Z
117,Gavin,Hernandes,gavin.hernandes6826@gmail.com,(318) 378-1826,1959-09-04,M,gold,1,2021-06-07T17:42:26Z
118,Hayden,Hart,hayden.hart4857@microsoft.com,(212) 989-7796,1980-05-20,M,bronze,1,2021-06-07T17:54:50Z
119,Maddox,Watkins,maddox.watkins3706@gmail.com,(413) 593-1509,1994-05-10,M,bronze,1,2021-06-07T22:40:40Z
120,Gary,Sanchez,gary.sanchez8506@microsoft.com,(831) 992-7279,1972-08-21,M,bronze,1,2021-06-08T22:48:52Z
121,Allison,Patel,allison.patel3984@gmail.com,(540) 541-4998,1984-12-10,F,bronze,1,2021-06-09T12:05:18Z
122,Xavier,Romero,xavier.romero189@hashicorp.com,(661) 678-6766,1979-02-13,M,silver,0,2021-06-11T03:34:59Z
123,Damian,Lawson,damian.lawson358@icloud.com,(361) 872-9381,1998-11-16,M,silver,1,2021-06-12T05:34:10Z
124,Carol,Ross,carol.ross7182@gmail.com,(404) 620-8722,1966-02-21,F,bronze,1,2021-06-12T20:01:45Z
125,Anthony,McDonald,anthony.mcdonald5978@outlook.com,(202) 232-6626,1988-01-18,M,bronze,1,2021-06-13T19:30:08Z
126,Melissa,Delgado,melissa.delgado6169@gmail.com,(704) 772-1613,1986-08-26,F,silver,1,2021-06-14T07:26:08Z
127,Leah,Salazar,leah.salazar664@me.com,(505) 716-9837,1976-11-28,F,bronze,1,2021-06-15T03:12:29Z
128,Scott,King,scott.king1262@twc.com,(408) 529-8981,1973-05-17,M,gold,1,2021-06-15T06:37:12Z
129,Hazel,Bennett,hazel.bennett3909@gmail.com,(562) 738-9500,1955-06-18,F,bronze,1,2021-06-15T15:13:36Z
130,Ryder,Figueroa,ryder.figueroa5909@gmail.com,(754) 405-8642,2003-11-17,M,silver,0,2021-06-15T20:22:57Z
131,Diana,Chapman,diana.chapman1602@icloud.com,(816) 403-8436,1988-06-24,F,silver,1,2021-06-16T14:49:38Z
132,Kingston,Austin,kingston.austin3748@gmail.com,(303) 265-0043,1996-08-10,M,gold,1,2021-06-18T10:17:02Z
133,Kyle,Gordon,kyle.gordon7999@aol.com,(571) 848-5579,1982-07-27,M,silver,1,2021-06-20T00:10:16Z
134,Ashton,Gonzales,ashton.gonzales8036@icloud.com,(832) 649-2431,1975-02-12,M,bronze,1,2021-06-20T00:14:36Z
135,Summer,McCoy,summer.mccoy4591@gmail.com,(602) 337-1741,1993-05-12,F,silver,1,2021-06-20T18:22:11Z
136,Gladys,Larson,gladys.larson6900@stryker.com,(508) 672-4843,1969-07-01,F,bronze,1,2021-06-20T20:17:55Z
137,Molly,Greene,molly.greene4865@gmail.com,(305) 983-8121,1960-02-05,F,silver,1,2021-06-21T12:13:44Z
138,Juan,Hawkins,juan.hawkins1020@gmail.com,(212) 772-2265,1981-07-28,M,bronze,1,2021-06-21T19:29:38Z
139,Eli,Mendoza,eli.mendoza8498@outlook.com,(719) 789-9766,1978-10-24,M,silver,1,2021-06-22T22:11:55Z
140,Ava,Walsh,ava.walsh6972@gmail.com,(404) 600-7725,1993-01-03,F,gold,1,2021-06-23T08:02:22Z
141,Claire,Wong,claire.wong1104@me.com,(760) 986-8502,1983-10-04,F,silver,1,2021-06-23T15:13:20Z
142,Joe,Price,joe.price2496@gmail.com,(314) 877-4801,1980-03-08,M,bronze,1,2021-06-24T00:42:20Z
143,Edna,Perry,edna.perry4532@gmail.com,(914) 831-1197,1978-02-08,F,bronze,1,2021-06-24T17:42:57Z
144,Sawyer,Gray,sawyer.gray5554@hotmail.com,(985) 234-6669,1994-04-02,M,silver,1,2021-06-25T19:53:25Z
145,Brittany,Freeman,brittany.freeman3118@gmail.com,(843) 768-0418,1976-09-26,F,gold,1,2021-06-26T03:47:28Z
146,Andrea,Graham,andrea.graham8761@icloud.com,(202) 534-9066,1982-01-13,F,bronze,1,2021-06-27T19:58:45Z
147,Emma,Porter,emma.porter7635@gmail.com,(419) 264-4078,1965-11-20,F,silver,1,2021-06-28T00:58:19Z
148,Eric,Payne,eric.payne2513@hotmail.com,(408) 549-9753,1961-02-04,M,bronze,1,2021-06-28T14:25:12Z
149,Eleanor,Castillo,eleanor.castillo2750@outlook.com,(317) 241-0885,2001-05-17,F,platinum,1,2021-06-29T04:40:41Z
150,Megan,Ortega,megan.ortega2525@gmail.com,(718) 612-6122,1994-08-01,F,silver,1,2021-06-29T05:32:00Z
151,Janet,Kelly,janet.kelly8763@hotmail.com,(323) 560-4251,1964-09-06,F,bronze,1,2021-06-29T17:33:08Z
152,Sara,Wheeler,sara.wheeler8231@yahoo.com,(619) 903-7993,2003-02-23,F,bronze,1,2021-07-01T04:50:24Z
153,Oliver,Marshall,oliver.marshall7716@gmail.com,(254) 845-8073,1995-05-22,M,silver,1,2021-07-03T04:22:10Z
154,Hudson,Jacobs,hudson.jacobs6180@hotmail.com,(702) 379-2306,1988-01-23,M,bronze,0,2021-07-04T03:14:53Z
155,Quinn,Stewart,quinn.stewart2932@gmail.com,(402) 249-9633,1959-02-23,F,bronze,1,2021-07-05T09:12:19Z
156,Theo,Vega,theo.vega6931@icloud.com,(410) 860-4234,1999-08-04,M,silver,1,2021-07-08T10:13:33Z
157,Frank,Harris,frank.harris3529@gitlab.com,(915) 798-3229,1956-10-10,M,bronze,1,2021-07-08T21:16:26Z
158,Madelyn,Richardson,madelyn.richardson5852@gmail.com,(410) 707-6238,1962-12-24,F,bronze,1,2021-07-09T02:58:33Z
159,Ryker,Evans,ryker.evans8816@gmail.com,(530) 665-1458,1992-06-16,M,bronze,1,2021-07-09T19:40:59Z
160,Wayne,Knight,wayne.knight2222@gmail.com,(410) 322-6794,1971-10-14,M,bronze,1,2021-07-10T17:46:10Z
161,Carter,Peters,carter.peters7725@gmail.com,(336) 501-1642,1962-02-03,M,silver,0,2021-07-11T16:33:40Z
162,Vincent,Hicks,vincent.hicks6943@icloud.com,(225) 473-5848,1959-05-21,M,silver,1,2021-07-12T17:12:49Z
163,Andrew,Hoffman,andrew.hoffman4826@gmail.com,(309) 696-8698,1959-05-08,M,bronze,1,2021-07-13T21:04:04Z
164,Ralph,Lane,ralph.lane320@microsoft.com,(813) 914-5323,1986-11-04,M,bronze,1,2021-07-15T16:25:43Z
165,Justin,Nichols,justin.nichols1049@gmail.com,(813) 430-1834,1984-01-05,M,silver,1,2021-07-16T00:36:13Z
166,Chase,Ortiz,chase.ortiz345@gmail.com,(813) 710-4219,1991-07-26,M,bronze,1,2021-07-17T02:16:58Z
167,Benjamin,Anderson,benjamin.anderson8290@gmail.com,(804) 245-5862,1955-11-17,M,silver,1,2021-07-22T05:50:39Z
168,Donald,Moore,donald.moore7560@icloud.com,(281) 549-9078,2003-09-04,M,gold,1,2021-07-23T00:48:12Z
169,Alexis,Long,alexis.long5368@gmail.com,(407) 356-8453,1968-01-06,F,bronze,1,2021-07-23T17:22:44Z
170,Jonathan,Hernandez,jonathan.hernandez4658@microsoft.com,(806) 259-9727,1977-03-10,M,bronze,1,2021-07-23T22:55:36Z
171,Marcus,Moreno,marcus.moreno6680@gmail.com,(808) 375-1988,1979-07-13,M,gold,1,2021-07-24T18:22:03Z
172,Gertrude,Mendez,gertrude.mendez6884@gmail.com,(626) 344-3261,1997-12-04,F,bronze,1,2021-07-28T11:14:30Z
173,Miles,Morales,miles.morales8182@icloud.com,(336) 955-3006,1997-07-06,M,gold,1,2021-07-29T03:16:54Z
174,Brayden,Wallace,brayden.wallace2604@gmail.com,(650) 767-6512,1997-01-10,M,bronze,1,2021-07-30T18:47:04Z
175,Isaac,Howard,isaac.howard938@apple.com,(714) 954-4119,1998-08-13,M,bronze,1,2021-07-30T18:53:35Z
176,Louis,Goodwin,louis.goodwin8187@gmail.com,(520) 677-0090,2002-06-13,M,bronze,1,2021-07-31T17:38:25Z
177,Pamela,Roberts,pamela.roberts2304@icloud.com,(318) 268-0255,1971-08-01,F,silver,1,2021-08-01T00:00:58Z
178,Cassandra,Harrison,cassandra.harrison687@microsoft.com,(806) 783-8793,1974-06-18,F,bronze,0,2021-08-02T22:20:07Z
179,Barbara,Thompson,barbara.thompson8210@aol.com,(864) 481-1258,1967-09-07,F,bronze,1,2021-08-03T13:09:33Z
180,Destiny,Sanders,destiny.sanders3400@yahoo.com,(518) 977-8304,1979-03-02,F,bronze,1,2021-08-07T03:24:41Z
181,Patrick,Zimmerman,patrick.zimmerman4399@me.com,(559) 850-1274,1968-05-13,M,bronze,1,2021-08-07T10:47:12Z
182,Hugo,Jacobs,hugo.jacobs8270@aa.com,(814) 305-7220,1990-06-24,M,silver,1,2021-08-07T15:09:21Z
183,Dean,Burke,dean.burke7002@gmail.com,(281) 579-6042,1977-01-06,M,silver,1,2021-08-08T18:18:34Z
184,Ryan,George,ryan.george9082@gmail.com,(432) 869-4831,1961-05-05,M,gold,0,2021-08-09T10:17:27Z
185,Michael,Cunningham,michael.cunningham5162@icloud.com,(484) 317-6401,1972-12-21,M,bronze,1,2021-08-10T19:12:37Z
186,Natalie,Burns,natalie.burns2325@icloud.com,(216) 618-0702,1976-09-09,F,gold,0,2021-08-13T11:07:04Z
187,Teresa,Davis,teresa.davis6750@icloud.com,(410) 619-4589,1961-04-21,F,bronze,1,2021-08-13T22:37:37Z
188,Luna,Elliott,luna.elliott6285@jpmorgan.com,(541) 431-0847,1969-10-14,F,bronze,1,2021-08-14T10:59:46Z
189,Wendy,Vazquez,wendy.vazquez6353@gmail.com,(571) 917-4291,1996-11-16,F,gold,1,2021-08-14T19:20:59Z
190,Joan,Munoz,joan.munoz890@gmail.com,(915) 715-8289,1966-10-02,F,bronze,1,2021-08-15T03:01:32Z
191,Jude,Nunez,jude.nunez2737@gmail.com,(317) 702-8029,1970-09-07,M,silver,1,2021-08-15T11:08:29Z
192,Oliver,Campbell,oliver.campbell9038@gmail.com,(562) 677-1923,1992-10-08,M,silver,1,2021-08-16T00:39:01Z
193,Violet,Reynolds,violet.reynolds3197@gmail.com,(305) 388-9882,1978-09-06,F,gold,1,2021-08-16T03:15:54Z
194,Pauline,Perez,pauline.perez7177@icloud.com,(682) 930-1146,1968-04-04,F,bronze,1,2021-08-16T06:04:44Z
195,Carson,Snyder,carson.snyder8892@icloud.com,(816) 395-4606,1994-07-02,M,bronze,1,2021-08-16T18:34:50Z
196,Isabella,Ramirez,isabella.ramirez2857@gmail.com,(608) 299-8633,2004-10-12,F,bronze,1,2021-08-18T04:57:55Z
197,Aiden,Dunn,aiden.dunn1569@outlook.com,(206) 288-1209,1977-02-28,M,silver,1,2021-08-18T09:28:17Z
198,Lucy,Vasquez,lucy.vasquez7600@gmail.com,(513) 788-2270,1958-12-13,F,gold,1,2021-08-19T04:59:23Z
199,Jordan,Parker,jordan.parker7135@yahoo.com,(775) 838-2376,1987-06-08,M,bronze,1,2021-08-19T21:24:49Z
200,Ann,Franklin,ann.franklin4399@icloud.com,(330) 702-3118,1999-01-12,F,bronze,1,2021-08-20T17:43:12Z
201,Jose,Rios,jose.rios2971@icloud.com,(813) 884-0001,1987-04-09,M,bronze,1,2021-08-21T06:17:59Z
202,Nathan,Lopez,nathan.lopez4775@icloud.com,(239) 789-9164,1983-02-26,M,platinum,1,2021-08-21T09:06:09Z
203,Cassie,Johnston,cassie.johnston2208@hotmail.com,(702) 296-7341,1982-02-07,F,silver,1,2021-08-22T05:54:39Z
204,Gerald,French,gerald.french8673@gmail.com,(314) 750-8249,1980-03-27,M,silver,1,2021-08-22T13:20:59Z
205,Jason,Mills,jason.mills5400@microsoft.com,(513) 870-0712,2003-12-15,M,bronze,1,2021-08-23T15:34:04Z
206,Max,Bishop,max.bishop1935@microsoft.com,(865) 534-7821,1989-12-12,M,gold,1,2021-08-23T20:14:11Z
207,Austin,Lewis,austin.lewis3773@gmail.com,(814) 639-3941,1968-08-04,M,silver,0,2021-08-25T02:31:03Z
208,Randy,Mitchell,randy.mitchell2007@icloud.com,(501) 721-0460,1986-12-16,M,bronze,1,2021-08-26T23:43:46Z
209,Michelle,Romero,michelle.romero4233@icloud.com,(508) 624-4445,1985-01-17,F,bronze,1,2021-08-27T02:37:54Z
210,Kelly,White,kelly.white3833@microsoft.com,(915) 620-3589,1977-02-09,F,silver,1,2021-08-27T03:59:23Z
211,George,Crawford,george.crawford1329@icloud.com,(202) 295-5983,1959-10-01,M,bronze,1,2021-08-27T12:05:11Z
212,Jonah,Warren,jonah.warren8781@gmail.com,(404) 373-0278,1977-04-18,M,bronze,1,2021-08-27T13:37:09Z
